altura;raio;lambda;scattering
100.00;50.00;0.400;1.345172987
100.00;50.00;0.404;1.324162201
100.00;50.00;0.408;1.307157259
100.00;50.00;0.412;1.28777518
100.00;50.00;0.416;1.274231502
100.00;50.00;0.420;1.251230545
100.00;50.00;0.424;1.234928425
100.00;50.00;0.428;1.215904481
100.00;50.00;0.432;1.197878839
100.00;50.00;0.436;1.179086225
100.00;50.00;0.440;1.162397129
100.00;50.00;0.444;1.14290818
100.00;50.00;0.448;1.128159363
100.00;50.00;0.452;1.113566011
100.00;50.00;0.456;1.09652072
100.00;50.00;0.460;1.0811185
100.00;50.00;0.464;1.069061999
100.00;50.00;0.468;1.054831539
100.00;50.00;0.472;1.039629672
100.00;50.00;0.476;1.030085887
100.00;50.00;0.480;1.019739501
100.00;50.00;0.484;1.009193574
100.00;50.00;0.488;0.9990189643
100.00;50.00;0.492;0.9960068355
100.00;50.00;0.496;0.9824644236
100.00;50.00;0.500;0.9845277593
100.00;50.00;0.504;0.9805589413
100.00;50.00;0.508;0.985662708
100.00;50.00;0.512;0.9853576605
100.00;50.00;0.516;0.9845663684
100.00;50.00;0.520;0.9944016876
100.00;50.00;0.524;0.990459838
100.00;50.00;0.528;1.007048628
100.00;50.00;0.532;1.016837958
100.00;50.00;0.536;1.0276444
100.00;50.00;0.540;1.040060464
100.00;50.00;0.544;1.049690841
100.00;50.00;0.548;1.058803145
100.00;50.00;0.552;1.104433722
100.00;50.00;0.556;1.13143949
100.00;50.00;0.560;1.183279566
100.00;50.00;0.564;1.20322724
100.00;50.00;0.568;1.282988393
100.00;50.00;0.572;1.375488065
100.00;50.00;0.576;1.496253382
100.00;50.00;0.580;1.578607449
100.00;50.00;0.584;1.700823466
100.00;50.00;0.588;1.809530712
100.00;50.00;0.592;1.95858293
100.00;50.00;0.596;2.071902845
100.00;50.00;0.600;2.184659962
100.00;50.00;0.604;2.313230292
100.00;50.00;0.608;2.368672222
100.00;50.00;0.612;2.446590376
100.00;50.00;0.616;2.466976627
100.00;50.00;0.620;2.467262455
100.00;50.00;0.624;2.406893056
100.00;50.00;0.628;2.338724406
100.00;50.00;0.632;2.302946896
100.00;50.00;0.636;2.258464846
100.00;50.00;0.640;2.160680647
100.00;50.00;0.644;2.026244358
100.00;50.00;0.648;1.954202114
100.00;50.00;0.652;1.889674553
100.00;50.00;0.656;1.741104952
100.00;50.00;0.660;1.65502512
100.00;50.00;0.664;1.557886058
100.00;50.00;0.668;1.4409683
100.00;50.00;0.672;1.378729471
100.00;50.00;0.676;1.298010875
100.00;50.00;0.680;1.227911729
100.00;50.00;0.684;1.177393995
100.00;50.00;0.688;1.119193605
100.00;50.00;0.692;1.039320162
100.00;50.00;0.696;1.015078075
100.00;50.00;0.700;0.9419367109
100.00;50.00;0.704;0.9053800448
100.00;50.00;0.708;0.8459355911
100.00;50.00;0.712;0.813432925
100.00;50.00;0.716;0.7761739127
100.00;50.00;0.720;0.7559938232
100.00;50.00;0.724;0.7065027492
100.00;50.00;0.728;0.6741816239
100.00;50.00;0.732;0.6433618774
100.00;50.00;0.736;0.6199027858
100.00;50.00;0.740;0.5959018936
100.00;50.00;0.744;0.5749722431
100.00;50.00;0.748;0.5573836318
100.00;50.00;0.752;0.5276004677
100.00;50.00;0.756;0.5089585083
100.00;50.00;0.760;0.4946733961
100.00;50.00;0.764;0.4698170904
100.00;50.00;0.768;0.4606747739
100.00;50.00;0.772;0.4456896599
100.00;50.00;0.776;0.4325080685
100.00;50.00;0.780;0.4214459898
100.00;50.00;0.784;0.405895364
100.00;50.00;0.788;0.3953800325
100.00;50.00;0.792;0.3860850846
100.00;50.00;0.796;0.3719480392
100.00;50.00;0.800;0.364320696
100.00;50.00;0.804;0.3530736381
100.00;50.00;0.808;0.3429595352
100.00;50.00;0.812;0.3349425403
100.00;50.00;0.816;0.3256499622
100.00;50.00;0.820;0.3149545984
100.00;50.00;0.824;0.3110900566
100.00;50.00;0.828;0.3006865758
100.00;50.00;0.832;0.2941166025
100.00;50.00;0.836;0.2886512532
100.00;50.00;0.840;0.2819579691
100.00;50.00;0.844;0.2739961065
100.00;50.00;0.848;0.2651807235
100.00;50.00;0.852;0.2654193289
100.00;50.00;0.856;0.2531901681
100.00;50.00;0.860;0.25064887
100.00;50.00;0.864;0.2447111051
100.00;50.00;0.868;0.2388754662
100.00;50.00;0.872;0.2324120489
100.00;50.00;0.876;0.227970911
100.00;50.00;0.880;0.2220660239
100.00;50.00;0.884;0.223085592
100.00;50.00;0.888;0.2152856695
100.00;50.00;0.892;0.2128931624
100.00;50.00;0.896;0.2078800189
100.00;50.00;0.900;0.2037576574
100.00;50.00;0.904;0.1972546893
100.00;50.00;0.908;0.1968212744
100.00;50.00;0.912;0.1891626467
100.00;50.00;0.916;0.1858279908
100.00;50.00;0.920;0.1857161582
100.00;50.00;0.924;0.1816349644
100.00;50.00;0.928;0.1765960307
100.00;50.00;0.932;0.1703924471
100.00;50.00;0.936;0.1713590787
100.00;50.00;0.940;0.1660670852
100.00;50.00;0.944;0.1646145172
100.00;50.00;0.948;0.1616934912
100.00;50.00;0.952;0.1574357913
100.00;50.00;0.956;0.1553203999
100.00;50.00;0.960;0.1500585523
100.00;50.00;0.964;0.150787612
100.00;50.00;0.968;0.1493919437
100.00;50.00;0.972;0.1448930264
100.00;50.00;0.976;0.1404831782
100.00;50.00;0.980;0.1415616953
100.00;50.00;0.984;0.1357870511
100.00;50.00;0.988;0.1335658079
100.00;50.00;0.992;0.133385672
100.00;50.00;0.996;0.1297558892
100.00;50.00;1.000;0.1250560487
100.00;50.00;1.004;0.1238499469
100.00;50.00;1.008;0.1232130868
100.00;50.00;1.012;0.1193386852
100.00;50.00;1.016;0.1168475517
100.00;50.00;1.020;0.1173770666
100.00;50.00;1.024;0.1134896054
100.00;50.00;1.028;0.1111278137
100.00;50.00;1.032;0.1078131212
100.00;50.00;1.036;0.1075236328
100.00;50.00;1.040;0.1059533236
100.00;50.00;1.044;0.1054659714
100.00;50.00;1.048;0.1043494776
100.00;50.00;1.052;0.09838318062
100.00;50.00;1.056;0.09923503084
100.00;50.00;1.060;0.09657622672
100.00;50.00;1.064;0.0961176493
100.00;50.00;1.068;0.09218400328
100.00;50.00;1.072;0.08964420765
100.00;50.00;1.076;0.08773848891
100.00;50.00;1.080;0.08715144584
100.00;50.00;1.084;0.08543048477
100.00;50.00;1.088;0.08480142035
100.00;50.00;1.092;0.08381778164
100.00;50.00;1.096;0.08447283418
100.00;50.00;1.100;0.07856489724
100.00;50.00;1.104;0.07889456131
100.00;50.00;1.108;0.07781121806
100.00;50.00;1.112;0.07640963904
100.00;50.00;1.116;0.07571053654
100.00;50.00;1.120;0.07630630867
100.00;50.00;1.124;0.0726618403
100.00;50.00;1.128;0.0712835201
100.00;50.00;1.132;0.07023932815
