altura;raio;lambda;scattering
100.00;50.00;0.400;2.520574802
100.00;50.00;0.404;2.703104329
100.00;50.00;0.408;2.959184013
100.00;50.00;0.412;3.214364385
100.00;50.00;0.416;3.635054551
100.00;50.00;0.420;3.813551536
100.00;50.00;0.424;4.191358194
100.00;50.00;0.428;4.511075461
100.00;50.00;0.432;4.647096932
100.00;50.00;0.436;4.737511564
100.00;50.00;0.440;4.530940927
100.00;50.00;0.444;4.175515416
100.00;50.00;0.448;3.861288326
100.00;50.00;0.452;3.121002786
100.00;50.00;0.456;2.859542298
100.00;50.00;0.460;2.448211245
100.00;50.00;0.464;2.029602169
100.00;50.00;0.468;1.716313744
100.00;50.00;0.472;1.460316903
100.00;50.00;0.476;1.343974126
100.00;50.00;0.480;1.231798877
100.00;50.00;0.484;1.219664563
100.00;50.00;0.488;1.282207312
100.00;50.00;0.492;1.358789235
100.00;50.00;0.496;1.438651842
100.00;50.00;0.500;1.419827404
100.00;50.00;0.504;1.776333392
100.00;50.00;0.508;1.884317867
100.00;50.00;0.512;1.955094011
100.00;50.00;0.516;2.501916751
100.00;50.00;0.520;2.589665142
100.00;50.00;0.524;3.089414222
100.00;50.00;0.528;3.403756403
100.00;50.00;0.532;3.418812941
100.00;50.00;0.536;3.844157098
100.00;50.00;0.540;3.977022549
100.00;50.00;0.544;4.490765010
100.00;50.00;0.548;4.614476104
100.00;50.00;0.552;4.617060622
100.00;50.00;0.556;4.716786559
100.00;50.00;0.560;4.723269366
100.00;50.00;0.564;4.823903862
100.00;50.00;0.568;4.788118883
100.00;50.00;0.572;4.686059709
100.00;50.00;0.576;4.584541569
100.00;50.00;0.580;4.418028653
100.00;50.00;0.584;4.290582830
100.00;50.00;0.588;4.139758124
100.00;50.00;0.592;3.992089140
100.00;50.00;0.596;3.735960461
100.00;50.00;0.600;3.554931142
100.00;50.00;0.604;3.333776812
100.00;50.00;0.608;3.193697706
100.00;50.00;0.612;2.993566151
100.00;50.00;0.616;2.860248993
100.00;50.00;0.620;2.659881101
100.00;50.00;0.624;2.465125770
100.00;50.00;0.628;2.369903565
100.00;50.00;0.632;2.168930417
100.00;50.00;0.636;2.109458800
100.00;50.00;0.640;1.981428635
100.00;50.00;0.644;1.845389052
100.00;50.00;0.648;1.745882080
100.00;50.00;0.652;1.656598994
100.00;50.00;0.656;1.668476619
100.00;50.00;0.660;1.482130289
100.00;50.00;0.664;1.405334241
100.00;50.00;0.668;1.301094561
100.00;50.00;0.672;1.270333626
100.00;50.00;0.676;1.189362224
100.00;50.00;0.680;1.130381184
100.00;50.00;0.684;1.105911224
100.00;50.00;0.688;1.044554618
100.00;50.00;0.692;1.005472731
100.00;50.00;0.696;0.949353261
100.00;50.00;0.700;0.911167512
100.00;50.00;0.704;0.889030272
100.00;50.00;0.708;0.817312170
100.00;50.00;0.712;0.802103013
100.00;50.00;0.716;0.761219050
100.00;50.00;0.720;0.722736312
100.00;50.00;0.724;0.707331880
100.00;50.00;0.728;0.659638782
100.00;50.00;0.732;0.648621248
100.00;50.00;0.736;0.620638432
100.00;50.00;0.740;0.604274330
100.00;50.00;0.744;0.583825736
100.00;50.00;0.748;0.562791307
100.00;50.00;0.752;0.546346424
100.00;50.00;0.756;0.526380996
100.00;50.00;0.760;0.518639423
100.00;50.00;0.764;0.494900745
100.00;50.00;0.768;0.494477627
100.00;50.00;0.772;0.464097117
100.00;50.00;0.776;0.449447360
100.00;50.00;0.780;0.439223017
100.00;50.00;0.784;0.419535670
100.00;50.00;0.788;0.414914036
100.00;50.00;0.792;0.401884168
100.00;50.00;0.796;0.383345880
100.00;50.00;0.800;0.381351633
100.00;50.00;0.804;0.374319721
100.00;50.00;0.808;0.361828294
100.00;50.00;0.812;0.354178730
100.00;50.00;0.816;0.344931572
100.00;50.00;0.820;0.329578214
100.00;50.00;0.824;0.322517053
100.00;50.00;0.828;0.313196441
100.00;50.00;0.832;0.309042526
100.00;50.00;0.836;0.302386410
100.00;50.00;0.840;0.296348886
